artist,artist_id,name,song_id,emo,duration,popularity,url
Mike Emilio,0ijmTKTGsjqOXfL5mWgUXC,Clown,4IYa4btcORknD6TcXOstaA,fear,00:02:18,46,https://open.spotify.com/track/4IYa4btcORknD6TcXOstaA
Los Straitjackets,5a1rrmsSJwko0HqT6HvteB,Que Monstruos Son (feat. Keith Streng & Mary Huff),1eBTesQZ72agGVC4kKs6HN,fear,00:03:29,34,https://open.spotify.com/track/1eBTesQZ72agGVC4kKs6HN
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,bury a friend,4SSnFejRGlZikf02HLewEF,fear,00:03:13,76,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
Zarcort,3ljuRRLVJKgXJKO0xNqzi6,Jeff the Killer,551JwWgwbctdbXRkL8hMeK,fear,00:02:45,27,https://open.spotify.com/track/551JwWgwbctdbXRkL8hMeK
Angerfist,4sQNUQjOYj9rV2sdfJ8laS,Pennywise,5WhZTVKHE32TysmSwKqVGl,fear,00:04:12,53,https://open.spotify.com/track/5WhZTVKHE32TysmSwKqVGl
Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Ghosts,2JzcEEYul9ngmGGPzvFVNL,fear,00:05:13,45,https://open.spotify.com/track/2JzcEEYul9ngmGGPzvFVNL
Francisco Gabilondo Soler,4bXoVWClkJvJ4atW0URMzm,La Canción de las Brujas,3AYsZBXwRv27a8CtfSLIpC,fear,00:04:14,20,https://open.spotify.com/track/3AYsZBXwRv27a8CtfSLIpC
Polymarchs,4PvEhCNbxMVlRoI1Pc80iD,La danza del diablo,5GyXDLI7LRRYk7a3miCT0p,fear,00:04:50,0,https://open.spotify.com/track/5GyXDLI7LRRYk7a3miCT0p
Ghostemane,3uL4UpqShC4p2x1dJutoRW,Nihil,1nB6VmrPybx4xwkL80OqdA,fear,00:02:27,66,https://open.spotify.com/track/1nB6VmrPybx4xwkL80OqdA
D-Devils,00Q38FFuCE7XCDMhuYYTao,The 6th Gate (Dance With the Devil) - Original Extended,5hc8WqSlO3UCbKgV0Wi7EV,fear,00:04:46,0,https://open.spotify.com/track/5hc8WqSlO3UCbKgV0Wi7EV
Kyle Dixon & Michael Stein,00oL7zWxmWveTsKF7DnIRd,Stranger Things,0kwuKfWntoGh0EWyYb7Mpf,fear,00:01:07,67,https://open.spotify.com/track/0kwuKfWntoGh0EWyYb7Mpf
Bruno Coulais,5kjb55jtwPnbYXXDvP4x7R,End Credits,0Bt6Aeum1Id745Noz4kuAz,fear,00:01:54,48,https://open.spotify.com/track/0Bt6Aeum1Id745Noz4kuAz
The Penguin Band,4AHIDLE82RvrqQMF93Mx9j,Ghosts Just Wanna Dance,1TchBTcjmNtWEW5WCa9v3i,fear,00:02:52,32,https://open.spotify.com/track/1TchBTcjmNtWEW5WCa9v3i
Modus,3SPahqpoQoSxuXOrS3rvKr,Lmxl,6B47yJOsgP1hC4S2eO2S1r,fear,00:07:54,19,https://open.spotify.com/track/6B47yJOsgP1hC4S2eO2S1r
Mandragora,2AasvmwafZPTgQANaoLoQY,Borscht Gonzales,3p32x7hnVUzTPzErVD1QG7,fear,00:04:01,23,https://open.spotify.com/track/3p32x7hnVUzTPzErVD1QG7
23,2YsdzHeTSiaIBz9eYBjq6C,Pink Soldiers,7AUCyNjckeQBBnKol7MZ59,fear,00:00:38,51,https://open.spotify.com/track/7AUCyNjckeQBBnKol7MZ59
Silver Mt. Zion,0bRpSBtMd3stO4J6TWclMb,13 Angels Standing Guard 'Round The Side Of Your Bed,3cEVhx8rkM0FlETJFFpxoF,fear,00:07:22,0,https://open.spotify.com/track/3cEVhx8rkM0FlETJFFpxoF
Dj Skinhead,4qGkH9mxSnMg3U5oHGYiW5,Extreme Terror III,7dWnasS83DFLEz7Rmbelml,fear,00:03:40,25,https://open.spotify.com/track/7dWnasS83DFLEz7Rmbelml
Destryur,4LoJzV2veCWijTidRRCQ8b,Cannibal Girls,2J3bcT96szUB75u207cX4A,fear,00:04:54,12,https://open.spotify.com/track/2J3bcT96szUB75u207cX4A
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,Six Feet Under,3xDvZswTmnHBWsB39z6Sbn,fear,00:03:09,0,https://open.spotify.com/track/3xDvZswTmnHBWsB39z6Sbn
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Outrunning Karma,2W0AJEbIC2vdZTV2nVSAsg,fear,00:03:08,67,https://open.spotify.com/track/2W0AJEbIC2vdZTV2nVSAsg
MISSIO,2HOMW1liAxI3URnEq95SMS,Dizzy,5MxLy1RM6bGy1TK1eba4Ts,fear,00:03:29,61,https://open.spotify.com/track/5MxLy1RM6bGy1TK1eba4Ts
Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Boy In The Bubble,60cYr5uuMoxvyuIx45rGEW,fear,00:03:01,71,https://open.spotify.com/track/60cYr5uuMoxvyuIx45rGEW
AViVA,50tDsT4wwq8FCMJNkn1D67,RABBIT HOLE,6gJbvBnEoY69UvFYTQuzBD,fear,00:03:48,58,https://open.spotify.com/track/6gJbvBnEoY69UvFYTQuzBD
Set It Off,06bDwgCHeMAwhgI8il4Y5k,Partners in Crime (feat. Ash Costello),4oaU0fMSg3n9kqOwmLPVhH,fear,00:03:31,69,https://open.spotify.com/track/4oaU0fMSg3n9kqOwmLPVhH
Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Doubt,57yL3161hUMuw06zzzUCHi,fear,00:03:11,69,https://open.spotify.com/track/57yL3161hUMuw06zzzUCHi
